Fishery,ADFG,Set_Date,District,Hauls,Dredge_Hrs,Est_Round_Wt,Meat_Wt,Sample_Hrs,Tanner_Count,Opilio_Count,Dungeness_Count,Halibut_Count,Discard_Count,Discard_Weight,Broken_Weight,Rem_Disc_Wt,Clapper_Count,King_Count
"DS16",303,"07-31-2016","YAK",17,25.16,10383.9,695.01,2.92,0,0,0,1,84,26,65,0,20,0
"DS16",303,"08-01-2016","YAK",23,34.50,19089.5,1410.00,3.75,0,0,0,0,276,96,63,0,22,0
"DS16",303,"08-02-2016","YAK",20,27.76,11962.0,1050.00,1.50,0,0,0,0,19,9,25,0,5,0
"DS16",303,"08-03-2016","YAK",21,28.69,19903.3,1320.01,3.16,0,0,0,1,213,74,50,24,22,0
"DS16",303,"08-04-2016","YAK",22,34.52,19191.0,1405.00,3.99,1,0,0,0,244,90,66,0,13,0
"DS16",303,"08-05-2016","YAK",21,33.17,16849.0,1419.99,3.00,0,0,0,0,245,66,87,0,4,0
"DS16",303,"08-06-2016","YAK",21,33.68,21837.9,1440.02,3.83,0,0,0,1,680,141,51,302,8,0
"DS16",303,"08-07-2016","YAK",15,27.16,15780.2,1750.01,2.00,0,0,0,2,236,58,25,158,0,0
"DS16",303,"08-08-2016","YAK",18,27.39,16187.5,1079.99,3.79,0,0,0,0,500,109,78,118,4,0
"DS16",303,"08-09-2016","YAK",20,31.67,19954.5,1799.99,3.08,0,0,0,1,596,146,35,742,3,0
"DS16",303,"08-10-2016","YAK",19,29.35,17205.7,1410.01,3.75,0,0,0,0,344,113,29,133,11,0
"DS16",303,"08-11-2016","YAK",17,27.76,13133.1,1180.00,2.00,0,0,0,0,215,54,24,229,2,0
"DS16",303,"08-12-2016","YAK",6,7.08,3919.5,335.01,0,0,0,0,0,0,0,0,0,0,0
"DS16",303,"08-13-2016","YAK",13,23.17,8246.1,630.01,2.83,0,0,0,0,258,64,32,39,6,0
"DS16",303,"08-14-2016","YAK",13,21.58,9620.7,660.00,4.00,1,0,0,1,412,114,54,233,10,0
"DS16",303,"08-15-2016","YAK",19,34.49,14456.8,1049.97,3.25,0,0,0,0,382,108,21,315,6,0
"DS16",303,"08-16-2016","YAK",18,28.34,15525.7,1584.98,3.00,1,0,0,0,600,126,34,126,3,0
"DS16",303,"08-17-2016","YAK",21,32.26,16594.7,1290.00,4.08,2,0,0,0,900,173,60,141,3,0
"DS16",303,"08-18-2016","YAK",20,31.17,15881.6,1295.04,3.25,0,0,0,3,405,109,38,241,3,0
"DS16",303,"08-19-2016","YAK",20,33.87,20209.2,1715.04,4.32,0,0,0,2,730,181,37,529,29,0
"DS16",303,"08-20-2016","YAK",24,37.87,18936.3,1409.98,3.08,5,0,0,1,472,105,54,198,16,0
"DS16",303,"08-21-2016","YAK",21,32.51,16289.2,1425.00,4.00,0,0,0,1,770,194,24,434,13,0
"DS16",303,"08-22-2016","YAK",16,28.34,14354.8,1354.97,1.00,0,0,0,0,134,41,6,103,0,0
"DS16",303,"08-23-2016","YAK",17,19.98,7686.3,360.00,3.50,0,0,0,1,225,74,24,99,17,0
"DS16",303,"08-24-2016","YAK",23,35.67,16899.8,1439.98,2.92,0,0,0,1,119,57,34,0,14,0
"DS16",303,"08-25-2016","YAK",22,34.01,15830.8,1025.00,3.67,0,0,0,0,415,119,46,61,19,0
"DS16",303,"08-26-2016","YAK",23,35.50,18783.3,1634.99,3.00,0,0,0,0,383,115,33,61,15,0
"DS16",303,"08-27-2016","YAK",22,33.00,15118.2,1019.99,3.83,0,0,0,0,294,86,30,85,9,0
"DS16",303,"08-28-2016","YAK",22,33.50,17103.8,1550.00,3.00,0,0,0,0,131,41,30,0,20,0
"DS16",58200,"08-29-2016","YAK",1,1.67,916.3,60.00,0,0,0,0,0,0,0,0,0,0,0
"DS16",58200,"08-30-2016","YAK",12,18.34,10231.7,660.00,0,0,0,0,0,0,0,0,0,0,0
"DS16",58200,"09-06-2016","YAK",23,36.20,16085.2,1140.02,3.24,0,0,0,0,82,26,56,0,41,0
"DS16",58200,"09-07-2016","YAK",21,37.70,29167.7,1920.01,3.32,2,0,0,0,300,53,44,100,57,0
"DS16",58200,"09-08-2016","YAK",19,33.06,30084.0,2040.00,2.49,0,0,0,0,340,77,57,173,34,0
"DS16",58200,"09-09-2016","YAK",17,28.55,29320.4,1980.03,3.41,0,0,0,1,384,78,110,124,49,0
"DS16",58200,"09-10-2016","YAK",13,21.87,29473.1,2130.01,3.41,2,0,0,1,712,140,60,456,28,0
"DS16",58200,"09-11-2016","YAK",13,21.97,25960.6,1950.00,2.49,0,0,0,0,391,79,79,76,21,0
"DS16",58200,"09-12-2016","YAK",11,18.70,16289.0,1170.03,2.66,0,0,0,0,333,71,81,150,26,0
"DS16",58200,"09-13-2016","YAK",14,23.54,26215.2,1800.02,3.41,6,0,0,0,378,77,108,152,41,0
"DS16",58200,"09-14-2016","YAK",15,25.15,21430.6,1859.98,3.32,0,0,0,0,141,37,105,0,17,0
"DS16",58200,"09-15-2016","YAK",23,37.74,21379.8,1320.01,4.15,0,0,0,0,214,54,139,0,19,0
"DS16",58200,"09-16-2016","YAK",15,25.31,27946.0,1709.99,2.49,0,0,0,0,429,98,59,146,62,0
"DS16",58200,"09-17-2016","YAK",15,25.05,24280.8,2040.00,3.32,0,0,0,0,581,142,66,320,64,0
"DS16",58200,"09-18-2016","YAK",13,21.71,26673.4,1889.99,0,0,0,0,0,0,0,0,0,0,0
"DS16",58200,"09-19-2016","YAK",15,25.54,27334.9,1889.97,0,0,0,0,0,0,0,0,0,0,0
"DS16",58200,"09-20-2016","YAK",14,23.04,18834.3,1649.99,2.49,4,0,0,0,217,43,58,144,15,0
"DS16",58200,"09-21-2016","YAK",8,13.69,15474.6,1560.01,2.49,19,0,0,0,366,70,51,335,27,0
"DS16",58200,"09-23-2016","YAK",10,16.53,14253.0,779.99,0,0,0,0,0,0,0,0,0,0,0
"DS16",58200,"09-24-2016","YAK",14,23.71,26978.7,2009.99,1.66,8,0,0,0,357,64,27,343,10,0
"DS16",58200,"09-25-2016","YAK",14,23.71,28302.1,2069.97,4.15,11,0,1,0,927,174,72,921,29,0
"DS16",58200,"09-26-2016","YAK",13,21.54,21684.7,1530.00,2.49,0,0,0,0,441,79,19,590,0,0
"DS16",58200,"09-27-2016","YAK",16,26.20,30949.1,2010.02,4.00,0,0,1,0,667,132,74,423,13,0
"DS16",58200,"09-28-2016","YAK",17,28.22,28964.0,2370.02,3.32,4,0,0,0,806,131,54,279,18,0
"DS16",58200,"09-29-2016","YAK",15,26.36,30592.6,2190.01,3.41,8,0,0,0,783,146,61,685,6,0
"DS16",58200,"09-30-2016","YAK",20,32.35,25960.6,1890.01,3.25,4,0,0,0,394,74,34,544,20,0
"DS16",58200,"10-01-2016","YAK",23,36.87,25401.0,1979.97,3.91,0,0,11,0,582,129,42,190,18,0
"DS16",58200,"10-02-2016","YAK",9,14.19,10740.5,1079.99,3.24,0,0,3,0,422,86,32,199,10,0
"DS16",58200,"10-08-2016","YAK",6,9.34,6464.8,359.99,0,0,0,0,0,0,0,0,0,0,0
