Fishery,District,RACE_Code,Sex,Size_Grp,Sampfrac_Num_Crab
DS18,D,68560,1,17,1
DS18,D,68560,1,25,1
DS18,D,68560,1,25,1
DS18,D,68560,1,25,1
DS18,D,68560,1,25,1
DS18,D,68560,1,25,1
DS18,D,68560,1,25,1
DS18,D,68560,1,26,1
DS18,D,68560,1,26,1
DS18,D,68560,1,26,1
DS18,D,68560,1,27,1
DS18,D,68560,1,27,1
DS18,D,68560,1,27,1
DS18,D,68560,1,27,1
DS18,D,68560,1,28,1
DS18,D,68560,1,29,1
DS18,D,68560,1,29,1
DS18,D,68560,1,29,1
DS18,D,68560,1,30,1
DS18,D,68560,1,30,1
DS18,D,68560,1,31,1
DS18,D,68560,1,31,1
DS18,D,68560,1,32,1
DS18,D,68560,1,34,1
DS18,D,68560,1,35,1
DS18,D,68560,1,35,1
DS18,D,68560,1,35,1
DS18,D,68560,1,36,1
DS18,D,68560,1,36,1
DS18,D,68560,1,38,1
DS18,D,68560,1,40,1
DS18,D,68560,1,42,1
DS18,D,68560,1,42,1
DS18,D,68560,1,45,1
DS18,D,68560,1,45,1
DS18,D,68560,1,61,1
DS18,D,68560,2,18,1
DS18,D,68560,2,19,1
DS18,D,68560,2,22,1
DS18,D,68560,2,23,1
DS18,D,68560,2,24,1
DS18,D,68560,2,25,1
DS18,D,68560,2,26,1
DS18,D,68560,2,27,1
DS18,D,68560,2,28,1
DS18,D,68560,2,28,1
DS18,D,68560,2,28,1
DS18,D,68560,2,28,1
DS18,D,68560,2,29,1
DS18,D,68560,2,29,1
DS18,D,68560,2,29,1
DS18,D,68560,2,33,1
DS18,D,68560,2,34,1
DS18,D,68560,2,34,1
DS18,D,68560,2,34,1
DS18,D,68560,2,36,1
DS18,D,68560,2,37,1
DS18,D,68560,2,49,1
DS18,D,68560,2,51,1
DS18,D,68560,2,52,1
DS18,D,68560,2,69,1
ES18,WKI,68560,1,25,1
KS18,KNE,68560,1,22,1
KS18,KNE,68560,1,22,1
KS18,KNE,68560,1,29,1
KS18,KNE,68560,1,30,1
KS18,KNE,68560,1,31,1
KS18,KNE,68560,1,32,7.2
KS18,KNE,68560,1,32,1
KS18,KNE,68560,1,32,1
KS18,KNE,68560,1,33,1
KS18,KNE,68560,1,33,1
KS18,KNE,68560,1,33,1
KS18,KNE,68560,1,37,7.2
KS18,KNE,68560,1,38,1
KS18,KNE,68560,1,38,1
KS18,KNE,68560,1,43,7.2
KS18,KNE,68560,1,44,1.4
KS18,KNE,68560,1,45,1.4
KS18,KNE,68560,1,45,1
KS18,KNE,68560,1,45,1
KS18,KNE,68560,1,45,25.2
KS18,KNE,68560,1,46,1
KS18,KNE,68560,1,50,1
KS18,KNE,68560,1,53,1
KS18,KNE,68560,1,54,1.4
KS18,KNE,68560,1,54,25.2
KS18,KNE,68560,1,55,25.2
KS18,KNE,68560,1,56,25.2
KS18,KNE,68560,1,61,4.3
KS18,KNE,68560,1,61,25.2
