Fishery,District,Trip_ID,ADFG,Prod_Date,Cases_Packed,Meat_Weight
"DS16","YAK","DS16000303005278",303,"07-31-2016",23,695
"DS16","YAK","DS16000303005278",303,"08-01-2016",47,1410
"DS16","YAK","DS16000303005278",303,"08-02-2016",35,1050
"DS16","YAK","DS16000303005278",303,"08-03-2016",44,1320
"DS16","YAK","DS16000303005278",303,"08-04-2016",46,1405
"DS16","YAK","DS16000303005278",303,"08-05-2016",47,1420
"DS16","YAK","DS16000303005278",303,"08-06-2016",48,1440
"DS16","YAK","DS16000303005278",303,"08-07-2016",58,1750
"DS16","YAK","DS16000303005278",303,"08-08-2016",36,1080
"DS16","YAK","DS16000303005278",303,"08-09-2016",60,1800
"DS16","YAK","DS16000303005278",303,"08-10-2016",47,1410
"DS16","YAK","DS16000303005278",303,"08-11-2016",39,1180
"DS16","YAK","DS16000303005278",303,"08-12-2016",11,335
"DS16","YAK","DS16000303005278",303,"08-13-2016",21,630
"DS16","YAK","DS16000303005278",303,"08-14-2016",22,660
"DS16","YAK","DS16000303005278",303,"08-15-2016",35,1050
"DS16","YAK","DS16000303005278",303,"08-16-2016",52,1585
"DS16","YAK","DS16000303005278",303,"08-17-2016",43,1290
"DS16","YAK","DS16000303005278",303,"08-18-2016",43,1295
"DS16","YAK","DS16000303005278",303,"08-19-2016",57,1715
"DS16","YAK","DS16000303005278",303,"08-20-2016",47,1410
"DS16","YAK","DS16000303005278",303,"08-21-2016",47,1425
"DS16","YAK","DS16000303005278",303,"08-22-2016",45,1355
"DS16","YAK","DS16000303005278",303,"08-23-2016",12,360
"DS16","YAK","DS16000303005278",303,"08-24-2016",48,1440
"DS16","YAK","DS16000303005278",303,"08-25-2016",34,1025
"DS16","YAK","DS16000303005278",303,"08-26-2016",54,1635
"DS16","YAK","DS16000303005278",303,"08-27-2016",34,1020
"DS16","YAK","DS16000303005278",303,"08-28-2016",51,1550
"DS16","YAK","DS16058200005283",58200,"08-29-2016",2,60
"DS16","YAK","DS16058200005283",58200,"08-30-2016",22,660
"DS16","YAK","DS16058200005283",58200,"09-06-2016",38,1140
"DS16","YAK","DS16058200005283",58200,"09-07-2016",64,1920
