Fishery,District,Haul_ID,ADFG,Rtnd_Disc,Shell_Height,Shell_Num
"DS09","YAK","DS09032554200907010003",32554,"R",130,1
"DS09","YAK","DS09032554200907010003",32554,"R",131,2
"DS09","YAK","DS09032554200907010003",32554,"R",134,3
"DS09","YAK","DS09032554200907010003",32554,"R",121,4
"DS09","YAK","DS09032554200907010003",32554,"R",126,5
"DS09","YAK","DS09032554200907010003",32554,"R",136,6
"DS09","YAK","DS09032554200907010003",32554,"R",125,7
"DS09","YAK","DS09032554200907010003",32554,"R",122,8
"DS09","YAK","DS09032554200907010003",32554,"R",123,9
"DS09","YAK","DS09032554200907010003",32554,"R",121,10
"DS09","YAK","DS09032554200907010003",32554,"R",125,11
"DS09","YAK","DS09032554200907010003",32554,"R",123,12
"DS09","YAK","DS09032554200907010003",32554,"R",132,13
"DS09","YAK","DS09032554200907010003",32554,"R",120,14
"DS09","YAK","DS09032554200907010003",32554,"R",121,15
"DS09","YAK","DS09032554200907010003",32554,"R",131,16
"DS09","YAK","DS09032554200907010003",32554,"R",132,17
"DS09","YAK","DS09032554200907010003",32554,"R",118,18
"DS09","YAK","DS09032554200907010003",32554,"R",124,19
"DS09","YAK","DS09032554200907010003",32554,"R",131,20
"DS09","YAK","DS09032554200907010003",32554,"D",113,41
"DS09","YAK","DS09032554200907010003",32554,"D",118,42
"DS09","YAK","DS09032554200907010003",32554,"D",129,43
"DS09","YAK","DS09032554200907010003",32554,"D",127,44
"DS09","YAK","DS09032554200907010003",32554,"D",116,45
"DS09","YAK","DS09032554200907010003",32554,"D",117,46
"DS09","YAK","DS09032554200907010003",32554,"D",117,47
"DS09","YAK","DS09032554200907010003",32554,"D",117,48
"DS09","YAK","DS09032554200907010003",32554,"D",118,49
"DS09","YAK","DS09032554200907010003",32554,"D",132,50
"DS09","YAK","DS09032554200907010003",32554,"D",112,51
"DS09","YAK","DS09032554200907010003",32554,"D",110,52
"DS09","YAK","DS09032554200907010003",32554,"D",122,53
"DS09","YAK","DS09032554200907010003",32554,"D",126,54
"DS09","YAK","DS09032554200907010003",32554,"D",122,55
"DS09","YAK","DS09032554200907010003",32554,"D",118,56
"DS09","YAK","DS09032554200907010003",32554,"D",114,57
"DS09","YAK","DS09032554200907010003",32554,"D",111,58
"DS09","YAK","DS09032554200907010003",32554,"D",118,59
"DS09","YAK","DS09032554200907010003",32554,"D",122,60
