Survey,Year,Cruise Join ID,Haul Join ID,Catch Join ID,Vessel Number,Cruise Number,Haul Number,Starting Latitude (dd),Starting Longitude (dd),Ending Latitude (dd),Ending Longitude (dd),Stratum,Stratum INPFC Area,Stratum Min Depth (m),Stratum Max Depth (m),Stratum Description,Stratum Regulatory Area Name,Stratum Type,Domain,Density,Gear Performance,Satisfactory Gear Performance,Gear Performance Note,Gear Depth,Bottom Depth,Distance Fished (km),Net Width (m) ,Species Code,Common Name,Scientific Name,Weight (kg),Number of Fish,Effort (km2),Weight CPUE (kg/km2),Number CPUE (number/km2),akfin_load_date
EBS_SHELF,2011,-663,-7948,,89,201101,111,58.99097,-169.18682,59.01555,-169.17495,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,52,54,2.82,15.79,74120,weathervane scallop,Patinopecten caurinus,0,0,0.0445278,0,0,3-Oct-19
EBS_SHELF,2011,-663,-7955,,89,201101,118,59.67753,-170.57632,59.65273,-170.58562,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,65,67,2.815,17.231,74120,weathervane scallop,Patinopecten caurinus,0,0,0.048505265,0,0,3-Oct-19
EBS_SHELF,2011,-663,-7959,,89,201101,122,58.34298,-170.37235,58.32098,-170.39755,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,72,74,2.857,17.391,74120,weathervane scallop,Patinopecten caurinus,0,0,0.049686087,0,0,3-Oct-19
EBS_SHELF,2011,-663,-7961,,89,201101,124,58.0066,-170.32802,57.98395,-170.35258,42,,,,"50-100m in NW section, high density, pribilofs - MIDDLE DOMAIN",,,,,0,Y,Good performance,73,75,2.913,17.235,74120,weathervane scallop,Patinopecten caurinus,0,0,0.050205555,0,0,3-Oct-19
EBS_SHELF,2011,-663,-7980,,89,201101,143,59.83505,-174.2201,59.8411,-174.28038,62,,,,"100-200 m, NW section, high density, St. Matthew - OUTER DOMAIN",,,,,0,Y,Good performance,104,106,3.464,16.948,74120,weathervane scallop,Patinopecten caurinus,0,0,0.058707872,0,0,3-Oct-19
EBS_SHELF,2011,-663,-7981,,89,201101,144,59.67113,-173.89082,59.65803,-173.84823,62,,,,"100-200 m, NW section, high density, St. Matthew - OUTER DOMAIN",,,,,0,Y,Good performance,102,104,2.813,16.222,74120,weathervane scallop,Patinopecten caurinus,0,0,0.045632486,0,0,3-Oct-19
EBS_SHELF,2009,-634,-5212,,89,200901,94,60.33419,-168.00639,60.33483,-167.9537,20,,,,<50 m in NW section- INNER DOMAIN,,,,,0,Y,Good performance,30,32,2.92,15.6,74120,weathervane scallop,Patinopecten caurinus,0,0,0.045552,0,0,3-Oct-19
EBS_SHELF,2009,-634,-5216,,89,200901,98,59.01724,-169.18401,58.99062,-169.1848,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,52,54,2.958,17.014,74120,weathervane scallop,Patinopecten caurinus,0,0,0.050327412,0,0,3-Oct-19
EBS_SHELF,2009,-634,-5222,,89,200901,104,57.51229,-168.75751,57.48574,-168.76221,42,,,,"50-100m in NW section, high density, pribilofs - MIDDLE DOMAIN",,,,,0,Y,Good performance,69,71,2.964,17.17,74120,weathervane scallop,Patinopecten caurinus,0,0,0.05089188,0,0,3-Oct-19
EBS_SHELF,2009,-634,-5230,,89,200901,112,56.33441,-170.0424,56.33977,-170.0892,50,,,,"100-200 m, SE section - OUTER DOMAIN",,,,,0,Y,Good performance,108,110,2.962,18.628,74120,weathervane scallop,Patinopecten caurinus,0,0,0.055176136,0,0,3-Oct-19
EBS_SHELF,2009,-634,-5236,,89,200901,119,57.82164,-169.95129,57.82306,-170,42,,,,"50-100m in NW section, high density, pribilofs - MIDDLE DOMAIN",,,,,0,Y,Good performance,70,72,2.906,17.16,74120,weathervane scallop,Patinopecten caurinus,0,0,0.04986696,0,0,3-Oct-19
EBS_SHELF,2009,-634,-5249,,89,200901,132,59.33105,-170.5847,59.33361,-170.5341,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,66,68,2.9,17.319,74120,weathervane scallop,Patinopecten caurinus,0,0,0.0502251,0,0,3-Oct-19
