Survey,Tow,Haul_Date,Station,Waters,tdist,tsect,tsub_sect,spec_area,Start_Lat,Start_Lon,End_Lat,End_Lon,Depth_Avg(fm),Bottom_Temp(c),Distance(km),RACE_code,Species_Name,Samp_grp,Sex,Whole_Haul,Measured_cnt,Measured_wt(kg),Unmeasured_cnt,Unmeasured_wt(kg),Countovers,Final_wt(kg),Final_cnt
"CRAB1997",97010001,"07-03-1997","CHE","I",1,1,1,1,57.6772,-152.4468,,,9,,1.296,440,"longnose skate",0,0,"Y",1,,0,0,0,2.42691,1
"CRAB1997",97010001,"07-03-1997","CHE","I",1,1,1,1,57.6772,-152.4468,,,9,,1.296,10120,"Pacific halibut",0,0,"Y",8,,0,0,0,6.05183,8
"CRAB1997",97010001,"07-03-1997","CHE","I",1,1,1,1,57.6772,-152.4468,,,9,,1.296,10210,"yellowfin sole",0,0,"N",6,2.1,0,0,0,98.7977,282
"CRAB1997",97010001,"07-03-1997","CHE","I",1,1,1,1,57.6772,-152.4468,,,9,,1.296,10261,"northern rock sole",0,0,"N",13,9.5,0,0,0,446.942,612
"CRAB1997",97010001,"07-03-1997","CHE","I",1,1,1,1,57.6772,-152.4468,,,9,,1.296,10262,"southern rock sole",0,0,"N",0,0,49,9.9,0,465.761,2305
"CRAB1997",97010001,"07-03-1997","CHE","I",1,1,1,1,57.6772,-152.4468,,,9,,1.296,10270,"butter sole",0,0,"N",1,0.8,0,0,0,37.6372,47
"CRAB1997",97010001,"07-03-1997","CHE","I",1,1,1,1,57.6772,-152.4468,,,9,,1.296,20040,"sturgeon poacher",0,0,"N",0,0,0,0.1,0,4.70465,0
"CRAB1997",97010001,"07-03-1997","CHE","I",1,1,1,1,57.6772,-152.4468,,,9,,1.296,21300,"sculpin unident.",0,0,"N",0,0,0,0.8,0,37.6372,0
"CRAB1997",97010001,"07-03-1997","CHE","I",1,1,1,1,57.6772,-152.4468,,,9,,1.296,21720,"Pacific cod",0,0,"Y",7,,0,0,0,11.83,7
"CRAB1997",97010001,"07-03-1997","CHE","I",1,1,1,1,57.6772,-152.4468,,,9,,1.296,23800,"prickleback unident.",0,0,"N",0,0,0,0.1,0,4.70465,0
"CRAB1997",97010001,"07-03-1997","CHE","I",1,1,1,1,57.6772,-152.4468,,,9,,1.296,43000,"sea anemone unident.",0,0,"N",0,0,0,2.6,0,122.321,0
"CRAB1997",97010001,"07-03-1997","CHE","I",1,1,1,1,57.6772,-152.4468,,,9,,1.296,68560,"Tanner crab",0,0,"Y",6,,0,0,0,1,6
"CRAB1997",97010001,"07-03-1997","CHE","I",1,1,1,1,57.6772,-152.4468,,,9,,1.296,69010,"hermit crab unident.",0,0,"N",0,0,0,0.1,0,4.70465,0
"CRAB1997",97010001,"07-03-1997","CHE","I",1,1,1,1,57.6772,-152.4468,,,9,,1.296,69322,"red king crab",0,2,"Y",2,,0,0,0,1,2
"CRAB1997",97010001,"07-03-1997","CHE","I",1,1,1,1,57.6772,-152.4468,,,9,,1.296,69520,"Hyas sp.",0,0,"N",0,0,0,0.1,0,4.70465,0
"CRAB1997",97010001,"07-03-1997","CHE","I",1,1,1,1,57.6772,-152.4468,,,9,,1.296,72500,"hairy triton (or Oregon triton)",0,0,"N",0,0,0,0.1,0,4.70465,0
"CRAB1997",97010001,"07-03-1997","CHE","I",1,1,1,1,57.6772,-152.4468,,,9,,1.296,80000,"starfish unident.",0,0,"N",0,0,0,3.7,0,174.072,0
"CRAB1997",97010002,"07-03-1997","CHE","I",1,1,1,1,57.6692,-152.4665,,,7,,1.667,10120,"Pacific halibut",0,0,"Y",12,,0,0,0,2.65705,12
"CRAB1997",97010002,"07-03-1997","CHE","I",1,1,1,1,57.6692,-152.4665,,,7,,1.667,10210,"yellowfin sole",0,0,"N",11,5.5,0,0,0,47.3,95
"CRAB1997",97010002,"07-03-1997","CHE","I",1,1,1,1,57.6692,-152.4665,,,7,,1.667,10220,"starry flounder",0,0,"N",1,1.9,0,0,0,16.3,9
"CRAB1997",97010002,"07-03-1997","CHE","I",1,1,1,1,57.6692,-152.4665,,,7,,1.667,10261,"northern rock sole",0,0,"N",21,14.2,0,0,0,122.2,181
"CRAB1997",97010002,"07-03-1997","CHE","I",1,1,1,1,57.6692,-152.4665,,,7,,1.667,10262,"southern rock sole",0,0,"N",0,0,0,10,0,86,0
"CRAB1997",97010002,"07-03-1997","CHE","I",1,1,1,1,57.6692,-152.4665,,,7,,1.667,20040,"sturgeon poacher",0,0,"N",0,0,0,0.1,0,0.9,0
"CRAB1997",97010002,"07-03-1997","CHE","I",1,1,1,1,57.6692,-152.4665,,,7,,1.667,20510,"sablefish (or black cod)",0,0,"Y",1,,0,0,0,1,1
"CRAB1997",97010002,"07-03-1997","CHE","I",1,1,1,1,57.6692,-152.4665,,,7,,1.667,21300,"sculpin unident.",0,0,"N",0,0,0,4.8,0,41.3,0
"CRAB1997",97010002,"07-03-1997","CHE","I",1,1,1,1,57.6692,-152.4665,,,7,,1.667,21720,"Pacific cod",0,0,"Y",3,,0,0,0,6.3,3
"CRAB1997",97010002,"07-03-1997","CHE","I",1,1,1,1,57.6692,-152.4665,,,7,,1.667,21721,"Juvenile Cod",0,0,"N",61,7,0,0,0,60.2,525
"CRAB1997",97010002,"07-03-1997","CHE","I",1,1,1,1,57.6692,-152.4665,,,7,,1.667,21740,"walleye pollock",0,0,"Y",1,,0,0,0,2,1
"CRAB1997",97010002,"07-03-1997","CHE","I",1,1,1,1,57.6692,-152.4665,,,7,,1.667,23800,"prickleback unident.",0,0,"N",0,0,0,0.2,0,1.7,0
"CRAB1997",97010002,"07-03-1997","CHE","I",1,1,1,1,57.6692,-152.4665,,,7,,1.667,43000,"sea anemone unident.",0,0,"N",0,0,0,0.4,0,3.4,0
"CRAB1997",97010002,"07-03-1997","CHE","I",1,1,1,1,57.6692,-152.4665,,,7,,1.667,68020,"Dungeness crab",0,2,"Y",1,,0,0,0,1,1
"CRAB1997",97010002,"07-03-1997","CHE","I",1,1,1,1,57.6692,-152.4665,,,7,,1.667,68560,"Tanner crab",0,2,"Y",2,,0,0,0,1,2
"CRAB1997",97010002,"07-03-1997","CHE","I",1,1,1,1,57.6692,-152.4665,,,7,,1.667,69010,"hermit crab unident.",0,0,"N",0,0,0,0.2,0,1.7,0
"CRAB1997",97010002,"07-03-1997","CHE","I",1,1,1,1,57.6692,-152.4665,,,7,,1.667,80000,"starfish unident.",0,0,"N",0,0,0,12,0,103.3,0
"CRAB1997",97010002,"07-03-1997","CHE","I",1,1,1,1,57.6692,-152.4665,,,7,,1.667,99999,"natural debris",0,0,"N",0,0,0,0.3,0,2.6,0
